Institute,Academic Program Name,Category,Gender,Defense,PWD,State,Category_Key,Closing Rank
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri",Mechanical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,142290
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,115621
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri",Mechanical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,122778
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,127489
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,31578
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",SC,Gender-Neutral,No,No,Maharashtra,GSCH,73387
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,40942
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",Open,Female-Only,No,No,Maharashtra,LOPENH,25532
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",OBC,Female-Only,No,No,Maharashtra,LOBCH,40789
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",SC,Female-Only,No,No,Maharashtra,LSCH,55847
"Hope Foundation and research center's  Finolex Academy of
Management and Technology, Ratnagiri","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,70275
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Civil Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,60962
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Civil Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,88639
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,18162
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,16805
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,84860
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,142003
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Electronics and Computer
Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,37855
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Electronics and Computer
Science",Open,Female-Only,No,No,Maharashtra,LOPENH,35590
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Artificial Intelligence and
Data Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,23269
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Artificial Intelligence and
Data Science",Open,Female-Only,No,No,Maharashtra,LOPENH,23541
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,81234
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,119556
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,84795
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,71406
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,99708
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,97196
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Automobile Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,91717
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Automobile Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,88183
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,115920
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,108315
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"Electronics and Computer
Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,95452
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"Electronics and Computer
Science",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,129533
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"Electronics and Computer
Science",Open,Female-Only,No,No,Maharashtra,LOPENH,114037
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"Electronics and Computer
Science",OBC,Female-Only,No,No,Maharashtra,LOBCH,117354
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,14252
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,22593
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,61313
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,19928
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,15717
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,20067
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,33776
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,ST,Gender-Neutral,No,No,Maharashtra,GSTH,54629
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,NT,Female-Only,No,No,Maharashtra,LNT2H,56287
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,19074
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,NT,Female-Only,No,No,Maharashtra,LNT1H,31521
"Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,47410
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,17528
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,SC,Gender-Neutral,No,No,Maharashtra,GSCH,26756
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,24268
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,23262
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,20683
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,OBC,Female-Only,No,No,Maharashtra,LOBCH,26079
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,SC,Female-Only,No,No,Maharashtra,LSCH,36375
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,ST,Gender-Neutral,No,No,Maharashtra,GSTH,119519
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,50010
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT3H,18710
"Atharva College of Engineering,Malad(West),Mumbai",Information Technology,NT,Female-Only,No,No,Maharashtra,LNT3H,24565
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,60157
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,100198
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,74094
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,94662
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,59440
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,103973
"Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,135669
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,40956
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",SC,Gender-Neutral,No,No,Maharashtra,GSCH,59916
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",VJ,Gender-Neutral,No,No,Maharashtra,GVJH,74052
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT1H,44182
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,63172
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,39817
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",OBC,Female-Only,No,No,Maharashtra,LOBCH,63415
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",SC,Female-Only,No,No,Maharashtra,LSCH,117079
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT2H,123339
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT3H,90855
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,27549
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",SC,Gender-Neutral,No,No,Maharashtra,GSCH,36372
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",VJ,Gender-Neutral,No,No,Maharashtra,GVJH,74430
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,39862
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",Open,Female-Only,No,No,Maharashtra,LOPENH,28108
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",OBC,Female-Only,No,No,Maharashtra,LOBCH,48278
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",SC,Female-Only,No,No,Maharashtra,LSCH,72349
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",NT,Gender-Neutral,No,No,Maharashtra,GNT3H,74272
"Atharva College of Engineering,Malad(West),Mumbai","Electronics and Computer
Science",NT,Female-Only,No,No,Maharashtra,LNT1H,58750
"St. Francis Institute of Technology,Borivali, Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,10067
"St. Francis Institute of Technology,Borivali, Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,11657
"St. Francis Institute of Technology,Borivali, Mumbai",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,11549
"St. Francis Institute of Technology,Borivali, Mumbai",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,13479
"St. Francis Institute of Technology,Borivali, Mumbai",Electrical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,48199
"St. Francis Institute of Technology,Borivali, Mumbai",Electrical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,71999
"St. Francis Institute of Technology,Borivali, Mumbai","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,27211
"St. Francis Institute of Technology,Borivali, Mumbai","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,30413
"St. Francis Institute of Technology,Borivali, Mumbai",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,47706
"St. Francis Institute of Technology,Borivali, Mumbai",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,99464
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,53846
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,125066
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,60589
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,68020
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,58988
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,88001
"S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,108845
"S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,124469
"S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,131228
"S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,136496
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,48680
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,SC,Gender-Neutral,No,No,Maharashtra,GSCH,114675
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,60096
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,Open,Female-Only,No,No,Maharashtra,LOPENH,54142
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,OBC,Female-Only,No,No,Maharashtra,LOBCH,74293
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,SC,Female-Only,No,No,Maharashtra,LSCH,96900
"S.S.P.M.'s College of Engineering, Kankavli",Computer Science,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,122532
"S.S.P.M.'s College of Engineering, Kankavli",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,130800
"S.S.P.M.'s College of Engineering, Kankavli",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,112216
"S.S.P.M.'s College of Engineering, Kankavli",Mechatronics Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,143203
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,75855
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",SC,Gender-Neutral,No,No,Maharashtra,GSCH,126186
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,92005
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",Open,Female-Only,No,No,Maharashtra,LOPENH,68415
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",OBC,Female-Only,No,No,Maharashtra,LOBCH,68969
"S.S.P.M.'s College of Engineering, Kankavli","Computer Science and
Engineering(Artificial",Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,124021
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,14657
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,16735
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,10684
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,Religious Minority,Gender-Neutral,No,No,Maharashtra,MI,133626
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,18416
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENS,19338
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology,,Gender-Neutral,No,No,Maharashtra,TFWS,13375
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology,Religious Minority,Gender-Neutral,No,No,Maharashtra,MI,140121
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,46548
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENS,48482
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and
Telecommunication Engg",,Gender-Neutral,No,No,Maharashtra,TFWS,34597
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Automobile Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,68265
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Automobile Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,137578
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Automobile Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,72078
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,57308
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,101343
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,70049
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,Religious Minority,Gender-Neutral,No,No,Maharashtra,MI,140703
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and Computer
Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,32197
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and Computer
Science",Open,Female-Only,No,No,Maharashtra,LOPENS,34644
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and Computer
Science",,Gender-Neutral,No,No,Maharashtra,TFWS,31992
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Electronics and Computer
Science",Religious Minority,Gender-Neutral,No,No,Maharashtra,MI,139195
"Don Bosco Institute of Technology, Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,9819
"Don Bosco Institute of Technology, Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,11905
"Don Bosco Institute of Technology, Mumbai",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,11353
"Don Bosco Institute of Technology, Mumbai",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,13616
"Don Bosco Institute of Technology, Mumbai","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,31219
"Don Bosco Institute of Technology, Mumbai","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,33535
"Don Bosco Institute of Technology, Mumbai",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,58167
"Don Bosco Institute of Technology, Mumbai",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,101543
K J Somaiya Institute of Technology,Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,4558
K J Somaiya Institute of Technology,Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,7096
K J Somaiya Institute of Technology,Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,6715
K J Somaiya Institute of Technology,Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENS,8223
K J Somaiya Institute of Technology,"Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,13951
K J Somaiya Institute of Technology,"Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENS,17549
K J Somaiya Institute of Technology,"Electronics and
Telecommunication Engg",,Gender-Neutral,No,No,Maharashtra,TFWS,12052
K J Somaiya Institute of Technology,"Artificial Intelligence and
Data Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,8114
K J Somaiya Institute of Technology,"Artificial Intelligence and
Data Science",Open,Female-Only,No,No,Maharashtra,LOPENS,10153
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,27339
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,30287
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,32611
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,33342
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,63955
"Excelsior Education Society's K.C. College of Engineering and
Management Studies and Research, Kopri, Thane (E)","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,61308
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,10294
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,10186
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,11675
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,12338
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,25282
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,27029
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,32123
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,60128
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Electronics and Computer
Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,22578
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Electronics and Computer
Science",Open,Female-Only,No,No,Maharashtra,LOPENH,26015
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Computer Science and
Engineering (Internet of",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,16789
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Computer Science and
Engineering (Internet of",Open,Female-Only,No,No,Maharashtra,LOPENH,16723
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Artificial Intelligence and
Machine Learning",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,15077
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Artificial Intelligence and
Machine Learning",Open,Female-Only,No,No,Maharashtra,LOPENH,15968
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Artificial Intelligence and
Data Science",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,13128
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Artificial Intelligence and
Data Science",Open,Female-Only,No,No,Maharashtra,LOPENH,14271
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER
TECHNOLOGY, ULHASNAGAR",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,48628
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER
TECHNOLOGY, ULHASNAGAR",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,54121
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,10167
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,13141
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,12133
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,13646
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,29766
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,32962
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai","Computer Science and
Engineering (Internet of",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,17461
"Xavier Institute Of Engineering C/O  Xavier Technical
Institute,Mahim,Mumbai","Computer Science and
Engineering (Internet of",Open,Female-Only,No,No,Maharashtra,LOPENH,20578
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,630
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",SC,Gender-Neutral,No,No,Maharashtra,GSCS,5980
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",ST,Gender-Neutral,No,No,Maharashtra,GSTS,21385
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",VJ,Gender-Neutral,No,No,Maharashtra,GVJS,2938
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT1S,2768
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT2S,2904
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri,
Mumbai","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT3S,1749
